DATE,MSPUS_GDPDEF
2003-10-01,2389.3943582408865278
2004-01-01,2537.5805297065139585
2004-04-01,2575.0260342705670737
2004-07-01,2510.1109857035364936
2004-10-01,2669.4045174537987680
2005-01-01,2691.2525610306629163
2005-04-01,2686.3304059956779622
2005-07-01,2693.0043402481118212
2005-10-01,2752.8845393212715705
2006-01-01,2779.8040557980854478
2006-04-01,2741.1743756399412367
2006-07-01,2603.8615841999977896
2006-10-01,2702.1967736607388647
2007-01-01,2806.7344179351855890
2007-04-01,2624.0235750425239163
2007-07-01,2606.2774855566094680
2007-10-01,2559.4503193944924580
2008-01-01,2501.8986190888767663
2008-04-01,2503.4578146611341632
2008-07-01,2392.0160523814552751
2008-10-01,2342.4504663845198240
2009-01-01,2194.2385444743935310
2009-04-01,2329.2351167253632510
2009-07-01,2257.2626345615032969
