DATE,CPALTT01USM661S_MSPUS
1998-04-01,2176.5381756756768210
1998-07-01,2217.9572477064234699
1998-10-01,2205.8151459854023549
1999-01-01,2263.7424635922322331
1999-04-01,2265.9396325301211338
1999-07-01,2247.2827592371866879
1999-10-01,2321.0254798578217351
2000-01-01,2291.1643333333323854
2000-04-01,2246.2935191637635038
2000-07-01,2304.6353456221208274
2000-10-01,2347.0927434135166780
2001-01-01,2285.3768654173767107
2001-04-01,2387.5094541361845539
2001-07-01,2295.6447220662563537
2001-10-01,2285.9982356257057877
2002-01-01,2505.6082857142855532
2002-04-01,2470.4667260579081593
2002-07-01,2334.7747621681414754
2002-10-01,2478.3790814081397207
2003-01-01,2397.2355628058725457
2003-04-01,2482.7886728563625522
2003-07-01,2457.2426958400876091
2003-10-01,2540.1067169811315940
2004-01-01,2694.4690486370916845
2004-04-01,2730.2752355743794566
2004-07-01,2666.1290569020029787
2004-10-01,2828.8726969222736585
2005-01-01,2853.7779647850853489
2005-04-01,2859.6217294785757870
2005-07-01,2818.4516498993949057
2005-10-01,2914.5553356890475815
2006-01-01,2939.8653430145231496
2006-04-01,2892.8288949454894356
2006-07-01,2753.5111045364903162
2006-10-01,2863.8095420974888275
2007-01-01,2971.8335119441982421
2007-04-01,2770.0820039182754442
2007-07-01,2748.0956618891658798
2007-10-01,2672.3191751992253533
2008-01-01,2597.2731672351105495
2008-04-01,2564.5788065096130738
2008-07-01,2452.7177592894644285
2008-10-01,2494.6443438443139227
2009-01-01,2324.4943551612978050
2009-04-01,2437.5927789934359190
2009-07-01,2353.0301027049823316
2009-10-01,2388.1959723391636871
2010-01-01,2430.6583898082856060
2010-04-01,2395.2795132574282607
2010-07-01,2433.4215874470284777
2010-10-01,2411.3226668239058757
2011-01-01,2411.1240416775030448
2011-04-01,2404.8992331165536111
2011-07-01,2337.7758531666358851
2011-10-01,2306.3008014153494190
2012-01-01,2469.5421381338859505
2012-04-01,2475.7118683376815087
2012-07-01,2552.6407202995478646
2012-10-01,2580.0934560442173702
2013-01-01,2636.6740771992679034
2013-04-01,2733.7330422250425488
2013-07-01,2687.3780358305079540
2013-10-01,2762.7866171890635542
2014-01-01,2763.5313776331628490
2014-04-01,2877.4020258735178773
2014-07-01,2804.5569465674710602
2014-10-01,2998.6785847315566082
2015-01-01,2904.4010254020041820
2015-04-01,2882.8871400683296145
2015-07-01,2951.9097875422077052
2015-10-01,3014.8241084531292032
2016-01-01,2985.1408850687771688
2016-04-01,3019.8654269737304960
2016-07-01,2987.1589248748219466
2016-10-01,3035.3000057667404266
2017-01-01,3044.5262421589326237
2017-04-01,3088.6309965517526379
2017-07-01,3082.7272561257645143
2017-10-01,3230.6462781513529117
2018-01-01,3152.0188779068457164
2018-04-01,2978.5917159763194642
2018-07-01,3112.1354430379629441
2018-10-01,3027.3891810401103782
2019-01-01,2919.0204526496396417
2019-04-01,2993.9868980239263386
2019-07-01,2874.4406377019732723
